alias,display_phone,distance,id,image_url,is_closed,name,phone,price,rating,review_count,transactions,url,latitude,longitude,address1,address2,address3,city,country,display_address,state,zip_code,Restaurant Category
mendocino-farms-houston-4,,1403.8812675903944,SIjIpqDiZ7ilXv5eM_qfug,https://s3-media2.fl.yelpcdn.com/bphoto/r4AxlJo1Fqk2fBF_NSUjmA/o.jpg,False,Mendocino Farms,,,5.0,2,[],https://www.yelp.com/biz/mendocino-farms-houston-4?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7593,-95.36241,609 Main St,,,Houston,US,"['609 Main St', 'Houston, TX 77002']",TX,77002,Sandwiches
soul-kitchen-delivers-houston,(832) 457-7411,9.007948155036269,8J-ViRxfOS95RqN05Qj6ug,https://s3-media3.fl.yelpcdn.com/bphoto/wPFye_RJv1JUwhM9Xdad7g/o.jpg,False,Soul Kitchen Delivers,+18324577411,,5.0,1,[],https://www.yelp.com/biz/soul-kitchen-delivers-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7661399841309,-95.3648834228516,,,,Houston,US,"['Houston, TX 77001']",TX,77001,Comfort Food
cafe-brussels-houston,(713) 222-6996,439.6557627987154,tlA_8Dq6MFgbVTzlnx-pdg,https://s3-media2.fl.yelpcdn.com/bphoto/FJnCNJA9UpDUXCCxRSguAg/o.jpg,False,Cafe Brussels,+17132226996,$$,4.0,271,[],https://www.yelp.com/biz/cafe-brussels-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.77355,-95.3722,1718 Houston Ave,,,Houston,US,"['1718 Houston Ave', 'Houston, TX 77007']",TX,77007,Belgian
finn-hall-houston,(713) 357-5115,1402.9107730470039,NvcTjZzys4mUA6MKyPlAQg,https://s3-media2.fl.yelpcdn.com/bphoto/Ailb9AonU3XgsAfporcSWA/o.jpg,False,Finn Hall,+17133575115,$$,4.0,189,[],https://www.yelp.com/biz/finn-hall-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.758662,-95.363796,712 Main St,,The Jones on Main,Houston,US,"['712 Main St', 'The Jones on Main', 'Houston, TX 77002']",TX,77002,Food Court
b-and-b-butchers-and-restaurant-houston-4,(713) 862-1814,652.6345732803057,z4UopTuEkrO4LT1sVq6LJw,https://s3-media1.fl.yelpcdn.com/bphoto/RqGdqtUsn6Ld-tjfLfVXpA/o.jpg,False,B&B Butchers & Restaurant,+17138621814,$$$,3.5,948,[],https://www.yelp.com/biz/b-and-b-butchers-and-restaurant-houston-4?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76807,-95.37628,1814 Washington Ave,,,Houston,US,"['1814 Washington Ave', 'Houston, TX 77007']",TX,77007,Butcher
la-fisheria-houston-5,(713) 802-1712,1057.5801929516197,Jjz4XXzVwMt__USzk2pKaw,https://s3-media3.fl.yelpcdn.com/bphoto/j9T6mgBQeZYC4e2HgrBf4Q/o.jpg,False,La Fisheria,+17138021712,$$,4.0,526,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/la-fisheria-houston-5?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7634727117342,-95.3621543826332,213 Milam St,,,Houston,US,"['213 Milam St', 'Houston, TX 77002']",TX,77002,Seafood
flying-saucer-draught-emporium-houston-2,(713) 228-9472,1431.4537669423403,YkNXwwqsIuD9ufvuGe1rUg,https://s3-media3.fl.yelpcdn.com/bphoto/EhObDKzvGGgw3geSCE6zeQ/o.jpg,False,Flying Saucer Draught Emporium,+17132289472,$$,4.0,711,[],https://www.yelp.com/biz/flying-saucer-draught-emporium-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.75882,-95.36315,705 Main St,,,Houston,US,"['705 Main St', 'Houston, TX 77002']",TX,77002,Venues & Event Spaces
one-dim-sum-houston-2,(346) 293-9188,2215.5094988719147,RLNfG20zCuGOU_g1dcSSHw,https://s3-media2.fl.yelpcdn.com/bphoto/lVgGgagPGggCmJOpub_xmg/o.jpg,False,One Dim Sum,+13462939188,$$,3.5,100,[],https://www.yelp.com/biz/one-dim-sum-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.75076,-95.37554,510 Gray St,Ste D,,Houston,US,"['510 Gray St', 'Ste D', 'Houston, TX 77002']",TX,77002,Dim Sum
studewood-cantine-houston,(713) 864-1100,2957.8968452553863,zs1_mB6AqphHRXrRwCwZWg,https://s3-media3.fl.yelpcdn.com/bphoto/JK7gsnpNhIigpnVOtMBbFA/o.jpg,False,Studewood Cantine,+17138641100,$$,4.5,69,"['delivery', 'pickup']",https://www.yelp.com/biz/studewood-cantine-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.79147,-95.38829,1111 Studewood St,Ste A,,Houston,US,"['1111 Studewood St', 'Ste A', 'Houston, TX 77008']",TX,77008,Tex-Mex
perbacco-houston,(713) 224-2422,1199.7786359082058,xRfw_M1BdMpnEzMcFCY_7g,https://s3-media1.fl.yelpcdn.com/bphoto/4IKxkwbpZ5enzKkWG-1v4g/o.jpg,False,Perbacco,+17132242422,$$,4.0,167,[],https://www.yelp.com/biz/perbacco-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.760168,-95.365059,700 Milam St,,,Houston,US,"['700 Milam St', 'Houston, TX 77002']",TX,77002,Italian
lucienne-houston,(713) 242-8540,1703.108486394546,EoI8X6eDxnd9V71tLw3qkw,https://s3-media3.fl.yelpcdn.com/bphoto/erKPgGiwQjkQRvZQotPVeg/o.jpg,False,Lucienne,+17132428540,$$$,4.0,65,[],https://www.yelp.com/biz/lucienne-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7551246407975,-95.3660582005978,1070 Dallas St,,,Houston,US,"['1070 Dallas St', 'Houston, TX 77002']",TX,77002,Mediterranean
the-moonshiners-southern-table-bar-houston-2,(713) 226-7717,1320.092004612435,Az9zW6yZIp6Gr_yIeDr8HQ,https://s3-media1.fl.yelpcdn.com/bphoto/egjA6bvyhxAIPCzFWsfouw/o.jpg,False,The Moonshiners Southern Table + Bar,+17132267717,$$,4.0,557,[],https://www.yelp.com/biz/the-moonshiners-southern-table-bar-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76056,-95.36188,1000 Prairie St,,,Houston,US,"['1000 Prairie St', 'Houston, TX 77002']",TX,77002,Southern
pappas-bros-steakhouse-houston-4,(713) 658-1995,1758.7110196014087,fyXynRba9znW2LrsaZxgVg,https://s3-media4.fl.yelpcdn.com/bphoto/0xr5r1ecRQ2TgHjamMwGNQ/o.jpg,False,Pappas Bros. Steakhouse,+17136581995,$$$$,4.5,257,[],https://www.yelp.com/biz/pappas-bros-steakhouse-houston-4?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7555094708505,-95.3628793166023,1200 Mckinney St,,,Houston,US,"['1200 Mckinney St', 'Houston, TX 77010']",TX,77010,Steakhouses
hearsay-on-the-green-houston-3,(832) 377-3362,2072.656362027724,Ciwc3Cevrq7PCVHOfxylbA,https://s3-media2.fl.yelpcdn.com/bphoto/eOA_nzolD8TcocXdHmhoQg/o.jpg,False,Hearsay on the Green,+18323773362,$$,4.0,470,['pickup'],https://www.yelp.com/biz/hearsay-on-the-green-houston-3?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.752967,-95.361335,1515 Dallas St,,,Houston,US,"['1515 Dallas St', 'Houston, TX 77010']",TX,77010,Cocktail Bars
the-blue-fish-houston-9,(713) 225-3474,957.5275621903864,GIw-Qn7AvIYFTbDVrERIXA,https://s3-media2.fl.yelpcdn.com/bphoto/EnHV3zV6LBSSUi1f3PbcTA/o.jpg,False,The Blue Fish,+17132253474,$$,4.0,839,[],https://www.yelp.com/biz/the-blue-fish-houston-9?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7620117022974,-95.3664868883606,550 Texas St,,,Houston,US,"['550 Texas St', 'Houston, TX 77002']",TX,77002,Sushi Bars
julep-houston,(713) 869-4383,807.7165233784617,qLHkT4_QeR3UWPvsJsEAGQ,https://s3-media3.fl.yelpcdn.com/bphoto/6jxjSpoPXIFkUuuYA4RTSQ/o.jpg,False,Julep,+17138694383,$$,4.0,335,[],https://www.yelp.com/biz/julep-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7676141,-95.3779718,1919 Washington Ave,,,Houston,US,"['1919 Washington Ave', 'Houston, TX 77007']",TX,77007,Cocktail Bars
la-calle-tacos-houston-5,(832) 735-8226,1164.3898763286059,xdx57Qj1FJi0MK8kwzbeuA,https://s3-media2.fl.yelpcdn.com/bphoto/f-kMnNuj8F0_QDtSWefUpQ/o.jpg,False,La Calle Tacos,+18327358226,$,4.0,556,"['delivery', 'pickup']",https://www.yelp.com/biz/la-calle-tacos-houston-5?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7634662971423,-95.3606901858526,909 Franklin St,,,Houston,US,"['909 Franklin St', 'Houston, TX 77002']",TX,77002,Tacos
kokoro-houston-2,,1212.840310776039,NeTbL8JfcZikRanoWfRu0Q,https://s3-media3.fl.yelpcdn.com/bphoto/ujUxFXHRzb7kzGNcs_Qp-Q/o.jpg,False,Kokoro,,$$,4.5,63,[],https://www.yelp.com/biz/kokoro-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76156,-95.36228,409 Travis St,Ste 366,,Houston,US,"['409 Travis St', 'Ste 366', 'Houston, TX 77002']",TX,77002,Sushi Bars
treebeards-houston,(713) 228-2622,1181.0957922550724,hHvaKf479t_jxWzO2-AYsA,https://s3-media2.fl.yelpcdn.com/bphoto/wfbt88_Zp8EGXDd-ofCmvg/o.jpg,False,Treebeards,+17132282622,$,4.0,196,[],https://www.yelp.com/biz/treebeards-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7621854179471,-95.3618420932421,315 Travis St,,,Houston,US,"['315 Travis St', 'Houston, TX 77002']",TX,77002,Cajun/Creole
the-pho-spot-houston,,1342.2239960400825,R-HqrKtnPo13ZdrXAD42HQ,https://s3-media3.fl.yelpcdn.com/bphoto/OyhygTuO9uUFsSUYVvVC_w/o.jpg,False,The Pho Spot,,$$,4.5,200,[],https://www.yelp.com/biz/the-pho-spot-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.760415889082,-95.3616855293512,1010 Prairie St,,,Houston,US,"['1010 Prairie St', 'Houston, TX 77002']",TX,77002,Vietnamese
platypus-brewing-houston-2,(832) 742-5503,741.025727679016,UdLKYpFzGHUAfoDDq6gr6A,https://s3-media4.fl.yelpcdn.com/bphoto/e8Gy0uG1w3Sgw29ZNZ8bPw/o.jpg,False,Platypus Brewing,+18327425503,$$,4.0,184,[],https://www.yelp.com/biz/platypus-brewing-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.768207,-95.377465,1902 Washington Ave,Ste E,,Houston,US,"['1902 Washington Ave', 'Ste E', 'Houston, TX 77007']",TX,77007,Breweries
cafeza-houston,(832) 203-8016,444.71379856660445,9FzAcR6pDBt8zfjx0FAvSA,https://s3-media3.fl.yelpcdn.com/bphoto/9wXF7tHmK0ORW2i4x_dvAA/o.jpg,False,Cafeza,+18322038016,$$,4.0,308,[],https://www.yelp.com/biz/cafeza-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7736,-95.3722,1720 Houston Ave,,,Houston,US,"['1720 Houston Ave', 'Houston, TX 77007']",TX,77007,Bars
henderson-heights-houston,(713) 714-8367,933.2739338560953,brCUC6Cd_x8TEMX1CD9fzA,https://s3-media3.fl.yelpcdn.com/bphoto/JUpiHUAE7NtQRyGDvDG9nQ/o.jpg,False,Henderson Heights,+17137148367,$$,4.5,91,[],https://www.yelp.com/biz/henderson-heights-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7675296294074,-95.3793103247881,908 Henderson St,,,Houston,US,"['908 Henderson St', 'Houston, TX 77007']",TX,77007,Pubs
bck-houston-4,(832) 831-7155,2714.907174876188,BKu4VGO2bW3nw8kc_ryumw,https://s3-media2.fl.yelpcdn.com/bphoto/6JlMlsDIcB53G02rvS05gw/o.jpg,False,BCK,+18328317155,$$,4.5,773,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/bck-houston-4?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7887995448524,-95.388083953373,933 Studewood St,,,Houston,US,"['933 Studewood St', 'Houston, TX 77008']",TX,77008,American (New)
izakaya-houston,(713) 527-8988,2109.366434916404,T3SLQcaVpRv4ea0Sa1OWNA,https://s3-media3.fl.yelpcdn.com/bphoto/H3N8Ft1lB33E6tw_gbUV3A/o.jpg,False,Izakaya,+17135278988,$$,4.0,588,['pickup'],https://www.yelp.com/biz/izakaya-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7520078,-95.3768782,318 Gray St,,,Houston,US,"['318 Gray St', 'Houston, TX 77002']",TX,77002,Poke
atlas-diner-houston,(713) 364-2481,1175.0586325092395,rwDYDO4KFXvA-Ai1ri9dAQ,https://s3-media2.fl.yelpcdn.com/bphoto/skSI_-FSq9_Gd6Ig7ew0Nw/o.jpg,False,Atlas Diner,+17133642481,,4.5,10,[],https://www.yelp.com/biz/atlas-diner-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7619967538176,-95.3621832202955,409 Travis St,,,Houston,US,"['409 Travis St', 'Houston, TX 77002']",TX,77002,Diners
kulture-houston,(713) 357-9697,2142.7674229844883,I5XqZRCCCbNjW66I88SIzA,https://s3-media4.fl.yelpcdn.com/bphoto/vLjfIGpP-q8mZ1eGYv9a2Q/o.jpg,False,Kulture,+17133579697,$$,4.0,311,[],https://www.yelp.com/biz/kulture-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7545999989511,-95.3567959944427,701 Avenida De Las Americas,Ste A,,Houston,US,"['701 Avenida De Las Americas', 'Ste A', 'Houston, TX 77010']",TX,77010,Southern
bravery-chef-hall-houston,(713) 909-0691,1212.810285403003,FiXYfKkeUVSGJ_uQ0S8i4Q,https://s3-media2.fl.yelpcdn.com/bphoto/2mu9fNIsPNxIXWjppXVEBQ/o.jpg,False,Bravery Chef Hall,+17139090691,$$,4.5,48,[],https://www.yelp.com/biz/bravery-chef-hall-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.76156,-95.36228,409 Travis St,Ste A,,Houston,US,"['409 Travis St', 'Ste A', 'Houston, TX 77002']",TX,77002,Food Court
mastrantos-houston-3,(346) 227-8458,2665.631992647213,cRSfgxEnTwNwWr80w-mJlw,https://s3-media4.fl.yelpcdn.com/bphoto/dh-g61bWFGw0eqhFwGuNaw/o.jpg,False,Mastrantos,+13462278458,$$,4.5,97,['restaurant_reservation'],https://www.yelp.com/biz/mastrantos-houston-3?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.788228,-95.388072,927 Studewood St,Ste 100,,Houston,US,"['927 Studewood St', 'Ste 100', 'Houston, TX 77008']",TX,77008,Breakfast & Brunch
potente-houston,(713) 237-1515,1874.326676523191,yTnMkgBS19T90hxWOEOy4A,https://s3-media3.fl.yelpcdn.com/bphoto/43_PXR28bztszl17c8aqFw/o.jpg,False,Potente,+17132371515,$$$,4.5,204,[],https://www.yelp.com/biz/potente-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7572378866031,-95.3574474900742,1515 Texas Ave,,,Houston,US,"['1515 Texas Ave', 'Houston, TX 77002']",TX,77002,Italian
jackson-street-bbq-houston,(713) 224-2400,1959.9815986905849,Gwr0TRqSeODo1nlCzeDrCw,https://s3-media2.fl.yelpcdn.com/bphoto/qh-YQ5k3d21BCJB9J9kyzg/o.jpg,False,Jackson Street BBQ,+17132242400,$$,4.0,436,"['delivery', 'pickup']",https://www.yelp.com/biz/jackson-street-bbq-houston?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7588636332986,-95.3543785428204,209 Jackson St,,,Houston,US,"['209 Jackson St', 'Houston, TX 77002']",TX,77002,Barbeque
osso-and-kristalla-houston-2,(713) 221-6666,1827.8429119409145,XPdL-df73m-sYrTndOrb3Q,https://s3-media2.fl.yelpcdn.com/bphoto/mrLsy_OlTiDYPiPT2X1rHw/o.jpg,False,Osso & Kristalla,+17132216666,$$,4.0,242,[],https://www.yelp.com/biz/osso-and-kristalla-houston-2?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7574509,-95.3579026,1515 Texas Ave,,,Houston,US,"['1515 Texas Ave', 'Houston, TX 77002']",TX,77002,Italian
mia-bella-trattoria-houston-13,(832) 319-6675,1930.2745557114251,YkB4ZffQBnpEljGZAX7xFA,https://s3-media1.fl.yelpcdn.com/bphoto/wU1Yn3-7JfKhGNst47-Vpw/o.jpg,False,Mia Bella Trattoria,+18323196675,$$,4.0,278,"['delivery', 'pickup']",https://www.yelp.com/biz/mia-bella-trattoria-houston-13?adjust_creative=rdN-s-nQF_WY7ZOW77h2VQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rdN-s-nQF_WY7ZOW77h2VQ,29.7534684960069,-95.3641167312134,1201 Caroline St,Ste 161,,Houston,US,"['1201 Caroline St', 'Ste 161', 'Houston, TX 77002']",TX,77002,Italian
